timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,18-24,2016,participants - recruited,1494,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2017,participants - recruited,1318,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2018,participants - recruited,1412,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2019,participants - recruited,1375,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2013,participants - recruited,2774,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2014,participants - recruited,2775,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2015,participants - recruited,2671,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2016,participants - recruited,2572,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2017,participants - recruited,2284,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2018,participants - recruited,2458,age,MO,Midwest,NONE,NA
mid-year,hunt,25-34,2019,participants - recruited,2364,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2013,participants - recruited,2277,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2014,participants - recruited,2226,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2015,participants - recruited,2253,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2016,participants - recruited,2110,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2017,participants - recruited,1922,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2018,participants - recruited,2069,age,MO,Midwest,NONE,NA
mid-year,hunt,35-44,2019,participants - recruited,1847,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2013,participants - recruited,2527,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2014,participants - recruited,2390,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2015,participants - recruited,2551,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2016,participants - recruited,2321,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2017,participants - recruited,2128,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2018,participants - recruited,2057,age,MO,Midwest,NONE,NA
mid-year,hunt,45-54,2019,participants - recruited,1908,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2013,participants - recruited,2024,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2014,participants - recruited,2091,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2015,participants - recruited,2179,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2016,participants - recruited,2333,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2017,participants - recruited,2191,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2018,participants - recruited,2358,age,MO,Midwest,NONE,NA
mid-year,hunt,55-64,2019,participants - recruited,2183,age,MO,Midwest,NONE,NA
mid-year,fish,all,2009,participants,580779,all,MO,Midwest,NONE,NA
mid-year,fish,all,2010,participants,561123,all,MO,Midwest,NONE,NA
mid-year,fish,all,2011,participants,521931,all,MO,Midwest,NONE,NA
mid-year,fish,all,2012,participants,600449,all,MO,Midwest,NONE,NA
mid-year,fish,all,2013,participants,535829,all,MO,Midwest,NONE,NA
mid-year,fish,all,2014,participants,559872,all,MO,Midwest,NONE,NA
mid-year,fish,all,2015,participants,536801,all,MO,Midwest,NONE,NA
mid-year,fish,all,2016,participants,558793,all,MO,Midwest,NONE,NA
mid-year,fish,all,2017,participants,524516,all,MO,Midwest,NONE,NA
mid-year,fish,all,2018,participants,509189,all,MO,Midwest,NONE,NA
mid-year,fish,all,2019,participants,476881,all,MO,Midwest,NONE,NA
mid-year,fish,resident,2009,participants,500719,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2010,participants,485802,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2011,participants,453998,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2012,participants,520461,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2013,participants,463682,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2014,participants,484044,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2015,participants,462896,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2016,participants,482175,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2017,participants,451470,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2018,participants,436003,residency,MO,Midwest,NONE,NA
mid-year,fish,resident,2019,participants,409266,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2009,participants,80060,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2010,participants,75321,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2011,participants,67933,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2012,participants,79988,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2013,participants,72147,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2014,participants,75828,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2015,participants,73905,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2016,participants,76618,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2017,participants,73046,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2018,participants,73186,residency,MO,Midwest,NONE,NA
mid-year,fish,nonresident,2019,participants,67615,residency,MO,Midwest,NONE,NA
mid-year,fish,male,2009,participants,437559,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2010,participants,421854,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2011,participants,393343,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2012,participants,442897,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2013,participants,398964,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2014,participants,411232,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2015,participants,395024,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2016,participants,411090,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2017,participants,388992,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2018,participants,378433,gender,MO,Midwest,NONE,NA
mid-year,fish,male,2019,participants,355055,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2009,participants,143220,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2010,participants,139269,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2011,participants,128588,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2012,participants,157552,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2013,participants,136865,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2014,participants,148640,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2015,participants,141777,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2016,participants,147703,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2017,participants,135524,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2018,participants,130756,gender,MO,Midwest,NONE,NA
mid-year,fish,female,2019,participants,121826,gender,MO,Midwest,NONE,NA
mid-year,fish,18-24,2009,participants,76382,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2010,participants,74521,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2011,participants,69717,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2012,participants,84362,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2013,participants,75890,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2014,participants,80496,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2015,participants,76264,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2016,participants,79694,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2017,participants,72633,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2018,participants,68219,age,MO,Midwest,NONE,NA
mid-year,fish,18-24,2019,participants,64714,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2009,participants,119909,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2010,participants,117134,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2011,participants,109693,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2012,participants,128519,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2013,participants,114549,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2014,participants,121008,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2015,participants,115489,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2016,participants,120176,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2017,participants,110263,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2018,participants,105109,age,MO,Midwest,NONE,NA
mid-year,fish,25-34,2019,participants,97407,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2009,participants,126084,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2010,participants,118416,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2011,participants,108447,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2012,participants,124678,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2013,participants,109721,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2014,participants,114408,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2015,participants,108891,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2016,participants,113726,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2017,participants,108930,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2018,participants,107357,age,MO,Midwest,NONE,NA
mid-year,fish,35-44,2019,participants,102081,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2009,participants,147393,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2010,participants,140108,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2011,participants,128019,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2012,participants,142639,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2013,participants,124566,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2014,participants,126573,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2015,participants,119358,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2016,participants,121733,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2017,participants,112612,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2018,participants,107412,age,MO,Midwest,NONE,NA
mid-year,fish,45-54,2019,participants,97807,age,MO,Midwest,NONE,NA
mid-year,fish,55-64,2009,participants,111012,age,MO,Midwest,NONE,NA
mid-year,fish,55-64,2010,participants,110942,age,MO,Midwest,NONE,NA
mid-year,fish,55-64,2011,participants,106056,age,MO,Midwest,NONE,NA
mid-year,fish,55-64,2012,participants,120249,age,MO,Midwest,NONE,NA
mid-year,fish,55-64,2013,participants,111104,age,MO,Midwest,NONE,NA
