timeframe,group,segment,category,year,metric,value,state
full-year,all_sports,residency,resident,2017,churn,0.5345179917,FL
full-year,all_sports,residency,resident,2018,churn,0.36689232101999997,FL
full-year,all_sports,age,18-24,2009,participants,117243,FL
full-year,all_sports,age,18-24,2010,participants,133938,FL
full-year,all_sports,age,18-24,2011,participants,151498,FL
full-year,all_sports,age,18-24,2012,participants,155295,FL
full-year,all_sports,age,18-24,2013,participants,172839,FL
full-year,all_sports,age,18-24,2014,participants,177660,FL
full-year,all_sports,age,18-24,2015,participants,179607,FL
full-year,all_sports,age,18-24,2016,participants,176963,FL
full-year,all_sports,age,18-24,2017,participants,174387,FL
full-year,all_sports,age,18-24,2018,participants,167746,FL
full-year,all_sports,age,25-34,2009,participants,201241,FL
full-year,all_sports,age,25-34,2010,participants,228728,FL
full-year,all_sports,age,25-34,2011,participants,253826,FL
full-year,all_sports,age,25-34,2012,participants,259199,FL
full-year,all_sports,age,25-34,2013,participants,285690,FL
full-year,all_sports,age,25-34,2014,participants,298914,FL
full-year,all_sports,age,25-34,2015,participants,314109,FL
full-year,all_sports,age,25-34,2016,participants,314801,FL
full-year,all_sports,age,25-34,2017,participants,310593,FL
full-year,all_sports,age,25-34,2018,participants,308332,FL
full-year,all_sports,age,35-44,2009,participants,251409,FL
full-year,all_sports,age,35-44,2010,participants,276415,FL
full-year,all_sports,age,35-44,2011,participants,293368,FL
full-year,all_sports,age,35-44,2012,participants,293674,FL
full-year,all_sports,age,35-44,2013,participants,310297,FL
full-year,all_sports,age,35-44,2014,participants,315377,FL
full-year,all_sports,age,35-44,2015,participants,325931,FL
full-year,all_sports,age,35-44,2016,participants,321496,FL
full-year,all_sports,age,35-44,2017,participants,321640,FL
full-year,all_sports,age,35-44,2018,participants,325301,FL
full-year,all_sports,age,45-54,2009,participants,296629,FL
full-year,all_sports,age,45-54,2010,participants,332361,FL
full-year,all_sports,age,45-54,2011,participants,356216,FL
full-year,all_sports,age,45-54,2012,participants,356388,FL
full-year,all_sports,age,45-54,2013,participants,379798,FL
full-year,all_sports,age,45-54,2014,participants,385425,FL
full-year,all_sports,age,45-54,2015,participants,408125,FL
full-year,all_sports,age,45-54,2016,participants,400463,FL
full-year,all_sports,age,45-54,2017,participants,392192,FL
full-year,all_sports,age,45-54,2018,participants,383995,FL
full-year,all_sports,age,55-64,2009,participants,230438,FL
full-year,all_sports,age,55-64,2010,participants,260460,FL
full-year,all_sports,age,55-64,2011,participants,284219,FL
full-year,all_sports,age,55-64,2012,participants,292381,FL
full-year,all_sports,age,55-64,2013,participants,318796,FL
full-year,all_sports,age,55-64,2014,participants,332650,FL
full-year,all_sports,age,55-64,2015,participants,377679,FL
full-year,all_sports,age,55-64,2016,participants,383671,FL
full-year,all_sports,age,55-64,2017,participants,382680,FL
full-year,all_sports,age,55-64,2018,participants,387420,FL
full-year,all_sports,all,all,2009,participants,1122681,FL
full-year,all_sports,all,all,2010,participants,1262832,FL
full-year,all_sports,all,all,2011,participants,1380101,FL
full-year,all_sports,all,all,2012,participants,1403991,FL
full-year,all_sports,all,all,2013,participants,1522194,FL
full-year,all_sports,all,all,2014,participants,1569365,FL
full-year,all_sports,all,all,2015,participants,1673464,FL
full-year,all_sports,all,all,2016,participants,1670874,FL
full-year,all_sports,all,all,2017,participants,1654605,FL
full-year,all_sports,all,all,2018,participants,1643359,FL
full-year,all_sports,gender,female,2009,participants,251596,FL
full-year,all_sports,gender,female,2010,participants,278149,FL
full-year,all_sports,gender,female,2011,participants,321482,FL
full-year,all_sports,gender,female,2012,participants,327985,FL
