state,year,sex,age,pop
Alabama,2012,2,5 to 9 years,153338.585485688
Alabama,2012,2,50 to 54 years,179600.11523936194
Alabama,2012,2,55 to 59 years,163046.67257959786
Alabama,2012,2,60 and 61 years,63834.88105940436
Alabama,2012,2,62 to 64 years,83254.0792594016
Alabama,2012,2,65 and 66 years,49469.815212108195
Alabama,2012,2,67 to 69 years,64991.06171527754
Alabama,2012,2,70 to 74 years,89774.8575182016
Alabama,2012,2,75 to 79 years,72485.57189524014
Alabama,2012,2,80 to 84 years,54408.0270980042
Alabama,2012,2,85 years and over,54188.28221310415
Alabama,2012,2,Under 5 years,150384.12558824747
Alabama,2013,1,10 to 14 years,164246.29075587844
Alabama,2013,1,15 to 17 years,100488.70411105674
Alabama,2013,1,18 and 19 years,70245.46912378678
Alabama,2013,1,20 years,38047.61611384382
Alabama,2013,1,21 years,38662.58604785679
Alabama,2013,1,22 to 24 years,96502.974260498
Alabama,2013,1,25 to 29 years,155321.6779819127
Alabama,2013,1,30 to 34 years,148994.8350928692
Alabama,2013,1,35 to 39 years,145554.62685316976
Alabama,2013,1,40 to 44 years,157264.2180353416
Alabama,2013,1,45 to 49 years,164939.7674899782
Alabama,2013,1,5 to 9 years,157383.99123034574
Alabama,2013,1,50 to 54 years,168615.4961299379
Alabama,2013,1,55 to 59 years,152826.57083556545
Alabama,2013,1,60 and 61 years,58355.71490039021
Alabama,2013,1,62 to 64 years,78835.92474866527
Alabama,2013,1,65 and 66 years,46365.31093329266
Alabama,2013,1,67 to 69 years,58741.203418764955
Alabama,2013,1,70 to 74 years,74107.39978959331
Alabama,2013,1,75 to 79 years,53283.97431529791
Alabama,2013,1,80 to 84 years,34922.441571928444
Alabama,2013,1,85 years and over,24395.48487824312
Alabama,2013,1,Under 5 years,155619.6012232676
Alabama,2013,2,10 to 14 years,157864.0905077994
Alabama,2013,2,15 to 17 years,95733.00372118551
Alabama,2013,2,18 and 19 years,67978.83689564075
Alabama,2013,2,20 years,37204.17126162962
Alabama,2013,2,21 years,37045.14466658208
Alabama,2013,2,22 to 24 years,100020.68280284718
Alabama,2013,2,25 to 29 years,158041.23405671315
Alabama,2013,2,30 to 34 years,154218.55679094998
Alabama,2013,2,35 to 39 years,156286.9090240051
Alabama,2013,2,40 to 44 years,160267.60638737876
Alabama,2013,2,45 to 49 years,172631.42090360695
Alabama,2013,2,5 to 9 years,151063.18732592431
Alabama,2013,2,50 to 54 years,180197.26213760948
Alabama,2013,2,55 to 59 years,166192.85679905536
Alabama,2013,2,60 and 61 years,62944.33671571781
Alabama,2013,2,62 to 64 years,87601.51092758347
Alabama,2013,2,65 and 66 years,51152.21274371119
Alabama,2013,2,67 to 69 years,67554.09497722262
Alabama,2013,2,70 to 74 years,92187.11325060004
Alabama,2013,2,75 to 79 years,73839.67147134872
Alabama,2013,2,80 to 84 years,54120.37368545304
Alabama,2013,2,85 years and over,54326.70566004005
Alabama,2013,2,Under 5 years,148267.13744591112
Alabama,2014,1,10 to 14 years,163870.33751757588
Alabama,2014,1,15 to 17 years,98889.50822844532
Alabama,2014,1,18 and 19 years,69134.10219196882
Alabama,2014,1,20 years,37064.84469800597
Alabama,2014,1,21 years,38547.438485926206
Alabama,2014,1,22 to 24 years,98939.76564498499
Alabama,2014,1,25 to 29 years,154907.4298518913
Alabama,2014,1,30 to 34 years,150883.8210837254
Alabama,2014,1,35 to 39 years,142193.30861568582
Alabama,2014,1,40 to 44 years,157073.52450475103
Alabama,2014,1,45 to 49 years,161175.53484271883
Alabama,2014,1,5 to 9 years,156595.07389929338
Alabama,2014,1,50 to 54 years,168702.08554369968
Alabama,2014,1,55 to 59 years,155233.09791106835
Alabama,2014,1,60 and 61 years,58784.08982978937
Alabama,2014,1,62 to 64 years,80662.14839783813
Alabama,2014,1,65 and 66 years,47472.150515040645
Alabama,2014,1,67 to 69 years,61105.982473922086
Alabama,2014,1,70 to 74 years,77108.94904848353
Alabama,2014,1,75 to 79 years,54490.09616064004
Alabama,2014,1,80 to 84 years,35593.307541724454
Alabama,2014,1,85 years and over,25377.98505587131
Alabama,2014,1,Under 5 years,154242.0216569061
Alabama,2014,2,10 to 14 years,158886.8120935023
Alabama,2014,2,15 to 17 years,94934.24954677335
Alabama,2014,2,18 and 19 years,66307.62508577784
Alabama,2014,2,20 years,36953.2732332879
Alabama,2014,2,21 years,37284.97218244972
Alabama,2014,2,22 to 24 years,100106.74285703611
Alabama,2014,2,25 to 29 years,159680.87927482906
Alabama,2014,2,30 to 34 years,156194.01971530681
Alabama,2014,2,35 to 39 years,153706.2775965932
Alabama,2014,2,40 to 44 years,160963.44854492144
Alabama,2014,2,45 to 49 years,169024.73815788436
Alabama,2014,2,5 to 9 years,149384.13977418168
Alabama,2014,2,50 to 54 years,179921.55121201542
Alabama,2014,2,55 to 59 years,168441.7521260242
Alabama,2014,2,60 and 61 years,64356.63217570788
Alabama,2014,2,62 to 64 years,89703.4576333246
Alabama,2014,2,65 and 66 years,54205.639183025516
Alabama,2014,2,67 to 69 years,69451.72906449954
Alabama,2014,2,70 to 74 years,94139.1772171158
Alabama,2014,2,75 to 79 years,74606.129704808
Alabama,2014,2,80 to 84 years,54064.91841671444
Alabama,2014,2,85 years and over,55244.96255706587
Alabama,2014,2,Under 5 years,146871.2689471982
Alabama,2015,1,10 to 14 years,162350.01787762233
Alabama,2015,1,15 to 17 years,98765.70711834091
Alabama,2015,1,18 and 19 years,67265.40723136989
Alabama,2015,1,20 years,37821.65878500068
Alabama,2015,1,21 years,37749.32282812558
Alabama,2015,1,22 to 24 years,99626.70593836816
Alabama,2015,1,25 to 29 years,155700.1331754516
Alabama,2015,1,30 to 34 years,150736.0781348978
Alabama,2015,1,35 to 39 years,142328.027814235
Alabama,2015,1,40 to 44 years,156419.47407993177
Alabama,2015,1,45 to 49 years,157142.83364868278
Alabama,2015,1,5 to 9 years,157109.67966844837
Alabama,2015,1,50 to 54 years,167641.5940562495
Alabama,2015,1,55 to 59 years,157726.54463402214
Alabama,2015,1,60 and 61 years,58306.79990560218
Alabama,2015,1,62 to 64 years,83008.52451238144
Alabama,2015,1,65 and 66 years,49377.32789579806
Alabama,2015,1,67 to 69 years,63872.64992071411
Alabama,2015,1,70 to 74 years,79627.82319453817
Alabama,2015,1,75 to 79 years,55379.20298429601
Alabama,2015,1,80 to 84 years,36421.15428661331
Alabama,2015,1,85 years and over,26076.10778740617
Alabama,2015,1,Under 5 years,151563.92297469062
Alabama,2015,2,10 to 14 years,157572.83072566256
Alabama,2015,2,15 to 17 years,94902.76608799699
Alabama,2015,2,18 and 19 years,64598.01882160054
Alabama,2015,2,20 years,35712.86470887795
Alabama,2015,2,21 years,36840.10003684827
Alabama,2015,2,22 to 24 years,101917.34457274635
Alabama,2015,2,25 to 29 years,160560.7076110313
Alabama,2015,2,30 to 34 years,157495.4714384489
Alabama,2015,2,35 to 39 years,152930.26882677586
Alabama,2015,2,40 to 44 years,160580.8009323855
Alabama,2015,2,45 to 49 years,164673.81049223494
Alabama,2015,2,5 to 9 years,150030.80255536558
Alabama,2015,2,50 to 54 years,179018.43260699455
Alabama,2015,2,55 to 59 years,170145.22189698217
Alabama,2015,2,60 and 61 years,66072.86860899843
Alabama,2015,2,62 to 64 years,91296.01490491904
Alabama,2015,2,65 and 66 years,56735.502175704154
Alabama,2015,2,67 to 69 years,72358.05952859053
Alabama,2015,2,70 to 74 years,96957.30819646339
Alabama,2015,2,75 to 79 years,75722.68618935044
Alabama,2015,2,80 to 84 years,54227.85567070066
Alabama,2015,2,85 years and over,55926.745991197815
Alabama,2015,2,Under 5 years,144866.81896733752
Alabama,2016,1,10 to 14 years,160424.63031927857
Alabama,2016,1,15 to 17 years,98812.97862043095
Alabama,2016,1,18 and 19 years,68120.20075130691
Alabama,2016,1,20 years,37290.76043488715
Alabama,2016,1,21 years,37040.547571823634
Alabama,2016,1,22 to 24 years,97969.89190512859
Alabama,2016,1,25 to 29 years,158211.9045182109
Alabama,2016,1,30 to 34 years,151452.1377317521
Alabama,2016,1,35 to 39 years,143490.54530583965
Alabama,2016,1,40 to 44 years,153872.87181657137
Alabama,2016,1,45 to 49 years,154285.87377126658
Alabama,2016,1,5 to 9 years,157184.9264216209
Alabama,2016,1,50 to 54 years,166177.51642786735
Alabama,2016,1,55 to 59 years,160169.39310153507
Alabama,2016,1,60 and 61 years,57776.059336143124
Alabama,2016,1,62 to 64 years,83712.78306518844
Alabama,2016,1,65 and 66 years,51452.406535907474
Alabama,2016,1,67 to 69 years,66070.26404187092
Alabama,2016,1,70 to 74 years,83778.09967602832
Alabama,2016,1,75 to 79 years,57207.30238636823
Alabama,2016,1,80 to 84 years,36975.23096098376
Alabama,2016,1,85 years and over,26509.500162564207
Alabama,2016,1,Under 5 years,149635.33107946767
Alabama,2016,2,10 to 14 years,155084.746165385
Alabama,2016,2,15 to 17 years,94856.80174540667
Alabama,2016,2,18 and 19 years,64601.14273344179
Alabama,2016,2,20 years,36049.74482892957
Alabama,2016,2,21 years,36334.12330381702
Alabama,2016,2,22 to 24 years,99472.173954445665
Alabama,2016,2,25 to 29 years,162519.78622083447
Alabama,2016,2,30 to 34 years,157432.12467187643
Alabama,2016,2,35 to 39 years,153575.43001951597
Alabama,2016,2,40 to 44 years,158229.99219505888
Alabama,2016,2,45 to 49 years,162257.514906539
Alabama,2016,2,5 to 9 years,150011.15280953093
Alabama,2016,2,50 to 54 years,177116.54143714198
Alabama,2016,2,55 to 59 years,173682.89744883668
Alabama,2016,2,60 and 61 years,65752.72482609554
Alabama,2016,2,62 to 64 years,91567.85917188511
Alabama,2016,2,65 and 66 years,59150.72277658844
Alabama,2016,2,67 to 69 years,75564.28464518036
Alabama,2016,2,70 to 74 years,100610.69272493143
Alabama,2016,2,75 to 79 years,76544.03380777845
Alabama,2016,2,80 to 84 years,56035.62287499452
Alabama,2016,2,85 years and over,56111.99306613037
Alabama,2016,2,Under 5 years,144561.73772361357
Alabama,2017,1,10 to 14 years,160458.41657748842
Alabama,2017,1,15 to 17 years,99323.07343306868
Alabama,2017,1,18 and 19 years,65567.47964395763
Alabama,2017,1,20 years,37128.43961506326
Alabama,2017,1,21 years,36178.69607944799
Alabama,2017,1,22 to 24 years,100250.70653716699
Alabama,2017,1,25 to 29 years,160320.72889031455
Alabama,2017,1,30 to 34 years,150357.96945269115
Alabama,2017,1,35 to 39 years,144500.71513992312
Alabama,2017,1,40 to 44 years,149952.94654808484
Alabama,2017,1,45 to 49 years,152207.20554320127
Alabama,2017,1,5 to 9 years,156271.50486386596
Alabama,2017,1,50 to 54 years,163939.80452179664
Alabama,2017,1,55 to 59 years,160284.54818419588
Alabama,2017,1,60 and 61 years,58972.540934214376
Alabama,2017,1,62 to 64 years,85422.64714619594
Alabama,2017,1,65 and 66 years,52384.63736177198
Alabama,2017,1,67 to 69 years,67897.11511015466
Alabama,2017,1,70 to 74 years,87930.17108414312
Alabama,2017,1,75 to 79 years,58699.175599095484
Alabama,2017,1,80 to 84 years,37338.488714474464
Alabama,2017,1,85 years and over,27327.488335359474
Alabama,2017,1,Under 5 years,149891.64035160598
Alabama,2017,2,10 to 14 years,154422.26877335584
Alabama,2017,2,15 to 17 years,94920.0825023486
Alabama,2017,2,18 and 19 years,66424.7613750474
Alabama,2017,2,20 years,35881.21027358332
Alabama,2017,2,21 years,34659.10642246356
Alabama,2017,2,22 to 24 years,97728.10730500368
Alabama,2017,2,25 to 29 years,164250.35558264863
Alabama,2017,2,30 to 34 years,156311.7056484423
Alabama,2017,2,35 to 39 years,155083.57167963608
Alabama,2017,2,40 to 44 years,155116.73732691153
Alabama,2017,2,45 to 49 years,160736.80701067933
Alabama,2017,2,5 to 9 years,149192.1466999782
Alabama,2017,2,50 to 54 years,174754.82059243778
Alabama,2017,2,55 to 59 years,174292.51156981025
Alabama,2017,2,60 and 61 years,66250.89298175486
Alabama,2017,2,62 to 64 years,94470.83873470836
Alabama,2017,2,65 and 66 years,60170.52431458834
Alabama,2017,2,67 to 69 years,78541.2778463465
Alabama,2017,2,70 to 74 years,104166.26295489934
Alabama,2017,2,75 to 79 years,78121.17964752408
Alabama,2017,2,80 to 84 years,57222.801785530595
Alabama,2017,2,85 years and over,56057.98405243208
Alabama,2017,2,Under 5 years,143737.9052525877
Alabama,2018,1,10 to 14 years,160878.09963550128
Alabama,2018,1,15 to 17 years,99582.85545060776
Alabama,2018,1,18 and 19 years,65738.97304985125
Alabama,2018,1,20 years,37225.54999050667
Alabama,2018,1,21 years,36273.322376587144
Alabama,2018,1,22 to 24 years,100512.91480261592
Alabama,2018,1,25 to 29 years,160740.05182268965
Alabama,2018,1,30 to 34 years,150751.23453508734
Alabama,2018,1,35 to 39 years,144878.66042511593
