region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,FL,full-year,fish,participants,age,2017,35-44,318397.1248434383,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2017,45-54,390769.6965490465,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2017,55-64,339314.7558793091,NONE,total,NA
Southeast,FL,full-year,fish,participants,gender,2017,female,368862,NONE,total,NA
Southeast,FL,full-year,fish,participants,gender,2017,male,1159423,NONE,total,NA
Southeast,FL,full-year,fish,participants,residency,2017,nonresident,407002,NONE,total,NA
Southeast,FL,full-year,fish,participants,residency,2017,resident,1121283,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2017,18-24,88126.10888312123,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2017,25-34,119302.6172694798,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2017,35-44,108299.69299787898,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2017,45-54,114266.48389707525,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2017,55-64,90476.09695244474,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,gender,2017,female,150085,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,gender,2017,male,370386,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,residency,2017,nonresident,213252,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,residency,2017,resident,307219,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2017,18-24,21849.343264045237,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2017,25-34,36294.16957257797,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2017,35-44,38617.41977764979,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2017,45-54,45950.34036686039,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2017,55-64,35647.72701886661,NONE,total,NA
Southeast,FL,full-year,hunt,participants,gender,2017,female,16162,NONE,total,NA
Southeast,FL,full-year,hunt,participants,gender,2017,male,162197,NONE,total,NA
Southeast,FL,full-year,hunt,participants,residency,2017,nonresident,8169,NONE,total,NA
Southeast,FL,full-year,hunt,participants,residency,2017,resident,170190,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2017,18-24,8390.164361330271,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2017,25-34,11155.61315290123,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2017,35-44,9049.072081294318,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2017,45-54,8237.437406371717,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2017,55-64,6860.712998102466,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,gender,2017,female,6290,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,gender,2017,male,37403,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,residency,2017,nonresident,4428,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,residency,2017,resident,39265,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2018,18-24,0.35007723951,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2018,25-34,0.39542161084,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2018,35-44,0.4495144974,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2018,45-54,0.48994728776999996,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2018,55-64,0.50290467885,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,all,2018,all,0.45074937886,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2018,female,0.38247555564,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2018,male,0.47171728014000003,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2018,nonresident,0.33094739828999997,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2018,resident,0.49683662043,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2018,all,1569365,NONE,total,NA
