timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,all,all,2014,participants - recruited,39667,VA,Southeast,NONE,NA
full-year,hunt,all,all,2015,participants - recruited,38144,VA,Southeast,NONE,NA
full-year,hunt,all,all,2016,participants - recruited,37935,VA,Southeast,NONE,NA
full-year,hunt,all,all,2017,participants - recruited,33654,VA,Southeast,NONE,NA
full-year,hunt,all,all,2018,participants - recruited,31195,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2014,participants - recruited,32342,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2015,participants - recruited,30632,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2016,participants - recruited,30444,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2017,participants - recruited,26720,VA,Southeast,NONE,NA
full-year,hunt,residency,resident,2018,participants - recruited,23891,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2014,participants - recruited,7325,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2015,participants - recruited,7512,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2016,participants - recruited,7491,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2017,participants - recruited,6934,VA,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2018,participants - recruited,7304,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2014,participants - recruited,30949,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2015,participants - recruited,29724,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2016,participants - recruited,29604,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2017,participants - recruited,26420,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2018,participants - recruited,24566,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2014,participants - recruited,8718,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2015,participants - recruited,8420,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2016,participants - recruited,8331,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2017,participants - recruited,7234,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2018,participants - recruited,6629,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2014,participants - recruited,8513,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,participants - recruited,7846,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2016,participants - recruited,7496,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2017,participants - recruited,6251,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2018,participants - recruited,5886,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2014,participants - recruited,10801,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2015,participants - recruited,10547,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2016,participants - recruited,10235,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2017,participants - recruited,8860,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2018,participants - recruited,8247,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2014,participants - recruited,8188,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2015,participants - recruited,7725,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2016,participants - recruited,7637,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2017,participants - recruited,7040,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2018,participants - recruited,6538,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2014,participants - recruited,7265,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2015,participants - recruited,6992,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2016,participants - recruited,7251,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2017,participants - recruited,6466,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2018,participants - recruited,5904,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2014,participants - recruited,4899,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2015,participants - recruited,5034,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2016,participants - recruited,5316,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2017,participants - recruited,5036,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2018,participants - recruited,4619,VA,Southeast,NONE,NA
