region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Southeast,VA,4,fish,participants,age,2013,55-64,88452,NONE,total
Southeast,VA,4,fish,participants,age,2014,55-64,91405,NONE,total
Southeast,VA,4,fish,participants,age,2015,55-64,94210,NONE,total
Southeast,VA,4,fish,participants,age,2016,55-64,94044,NONE,total
Southeast,VA,4,fish,participants,age,2017,55-64,97028,NONE,total
Southeast,VA,4,fish,participants,age,2018,55-64,95923,NONE,total
Southeast,VA,4,fish,participants - recruited,all,2014,all,143186,NONE,total
Southeast,VA,4,fish,participants - recruited,all,2015,all,139860,NONE,total
Southeast,VA,4,fish,participants - recruited,all,2016,all,134613,NONE,total
Southeast,VA,4,fish,participants - recruited,all,2017,all,130065,NONE,total
Southeast,VA,4,fish,participants - recruited,all,2018,all,113380,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2014,resident,104718,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2015,resident,100507,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2016,resident,95735,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2017,resident,91492,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2018,resident,77550,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2014,nonresident,38468,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2015,nonresident,39353,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2016,nonresident,38878,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2017,nonresident,38573,NONE,total
Southeast,VA,4,fish,participants - recruited,residency,2018,nonresident,35830,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2014,male,100127,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2015,male,98747,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2016,male,95069,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2017,male,92307,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2018,male,81067,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2014,female,43059,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2015,female,41113,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2016,female,39544,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2017,female,37758,NONE,total
Southeast,VA,4,fish,participants - recruited,gender,2018,female,32313,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2014,18-24,29739,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2015,18-24,28302,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2016,18-24,26353,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2017,18-24,24151,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2018,18-24,21303,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2014,25-34,37685,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2015,25-34,36855,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2016,25-34,35128,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2017,25-34,32985,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2018,25-34,28751,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2014,35-44,30693,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2015,35-44,29529,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2016,35-44,28488,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2017,35-44,28513,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2018,35-44,24852,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2014,45-54,26840,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2015,45-54,26361,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2016,45-54,25691,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2017,45-54,25196,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2018,45-54,21322,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2014,55-64,18229,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2015,55-64,18812,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2016,55-64,18952,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2017,55-64,19220,NONE,total
Southeast,VA,4,fish,participants - recruited,age,2018,55-64,17153,NONE,total
Southeast,VA,4,fish,churn,all,2010,all,0.514757549493199,NONE,total
Southeast,VA,4,fish,churn,all,2011,all,0.5158199338224002,NONE,total
Southeast,VA,4,fish,churn,all,2012,all,0.5107332477956773,NONE,total
Southeast,VA,4,fish,churn,all,2013,all,0.5014807332745916,NONE,total
Southeast,VA,4,fish,churn,all,2014,all,0.5017773215467363,NONE,total
Southeast,VA,4,fish,churn,all,2015,all,0.5093626717878429,NONE,total
Southeast,VA,4,fish,churn,all,2016,all,0.5181617651706195,NONE,total
Southeast,VA,4,fish,churn,all,2017,all,0.504668109715292,NONE,total
Southeast,VA,4,fish,churn,all,2018,all,0.4934170593623429,NONE,total
Southeast,VA,4,fish,churn,residency,2010,resident,0.4816882425962048,NONE,total
Southeast,VA,4,fish,churn,residency,2011,resident,0.48160848793927113,NONE,total
Southeast,VA,4,fish,churn,residency,2012,resident,0.47841359259044436,NONE,total
Southeast,VA,4,fish,churn,residency,2013,resident,0.4677035347548374,NONE,total
Southeast,VA,4,fish,churn,residency,2014,resident,0.470991008672399,NONE,total
Southeast,VA,4,fish,churn,residency,2015,resident,0.4752314083720023,NONE,total
Southeast,VA,4,fish,churn,residency,2016,resident,0.48320786421206074,NONE,total
Southeast,VA,4,fish,churn,residency,2017,resident,0.4674919510459801,NONE,total
Southeast,VA,4,fish,churn,residency,2018,resident,0.45304438368400435,NONE,total
Southeast,VA,4,fish,churn,residency,2010,nonresident,0.708892035201688,NONE,total
Southeast,VA,4,fish,churn,residency,2011,nonresident,0.7095400105108843,NONE,total
Southeast,VA,4,fish,churn,residency,2012,nonresident,0.7038035700836033,NONE,total
Southeast,VA,4,fish,churn,residency,2013,nonresident,0.7078316934547455,NONE,total
Southeast,VA,4,fish,churn,residency,2014,nonresident,0.6982201280505941,NONE,total
Southeast,VA,4,fish,churn,residency,2015,nonresident,0.7144901296577503,NONE,total
Southeast,VA,4,fish,churn,residency,2016,nonresident,0.7223663725998962,NONE,total
Southeast,VA,4,fish,churn,residency,2017,nonresident,0.7181915785448502,NONE,total
Southeast,VA,4,fish,churn,residency,2018,nonresident,0.7222336698949103,NONE,total
Southeast,VA,4,fish,churn,gender,2010,male,0.5051615798922802,NONE,total
Southeast,VA,4,fish,churn,gender,2011,male,0.5059945619250226,NONE,total
Southeast,VA,4,fish,churn,gender,2012,male,0.500767118153763,NONE,total
Southeast,VA,4,fish,churn,gender,2013,male,0.49199473307037517,NONE,total
Southeast,VA,4,fish,churn,gender,2014,male,0.4923335337074285,NONE,total
Southeast,VA,4,fish,churn,gender,2015,male,0.49774228543191956,NONE,total
Southeast,VA,4,fish,churn,gender,2016,male,0.5073073010139343,NONE,total
Southeast,VA,4,fish,churn,gender,2017,male,0.4934724081620643,NONE,total
Southeast,VA,4,fish,churn,gender,2018,male,0.4865727843618676,NONE,total
Southeast,VA,4,fish,churn,gender,2010,female,0.6736507331483091,NONE,total
Southeast,VA,4,fish,churn,gender,2011,female,0.6732389944700683,NONE,total
Southeast,VA,4,fish,churn,gender,2012,female,0.6723258046586833,NONE,total
Southeast,VA,4,fish,churn,gender,2013,female,0.6571079248638435,NONE,total
Southeast,VA,4,fish,churn,gender,2014,female,0.6530243791623325,NONE,total
Southeast,VA,4,fish,churn,gender,2015,female,0.6641492071685876,NONE,total
