timeframe,group,segment,year,category,metric,value,state
full-year,hunt,age,2013,18-24,churn,0.47232885924846585,GA
full-year,hunt,age,2014,18-24,churn,0.4682385137624336,GA
full-year,hunt,age,2015,18-24,churn,0.4587774294670846,GA
full-year,hunt,age,2016,18-24,churn,0.444037926414511,GA
full-year,hunt,age,2011,25-34,churn,0.4310592020141973,GA
full-year,hunt,age,2012,25-34,churn,0.43577179464981386,GA
full-year,hunt,age,2013,25-34,churn,0.42544537122850373,GA
full-year,hunt,age,2014,25-34,churn,0.43224314394436425,GA
full-year,hunt,age,2015,25-34,churn,0.4247340728795061,GA
full-year,hunt,age,2016,25-34,churn,0.4128167391860763,GA
full-year,hunt,age,2011,35-44,churn,0.3619265149592533,GA
full-year,hunt,age,2012,35-44,churn,0.366924072414921,GA
full-year,hunt,age,2013,35-44,churn,0.36312849162011174,GA
full-year,hunt,age,2014,35-44,churn,0.3590354487040647,GA
full-year,hunt,age,2015,35-44,churn,0.35060446531433653,GA
full-year,hunt,age,2016,35-44,churn,0.34961432063348025,GA
full-year,hunt,age,2011,45-54,churn,0.339627423647193,GA
full-year,hunt,age,2012,45-54,churn,0.3395905381103887,GA
full-year,hunt,age,2013,45-54,churn,0.3313028292001397,GA
full-year,hunt,age,2014,45-54,churn,0.3289850461342666,GA
full-year,hunt,age,2015,45-54,churn,0.3184154409754497,GA
full-year,hunt,age,2016,45-54,churn,0.31649068197979424,GA
full-year,hunt,age,2011,55-64,churn,0.3707943973430699,GA
full-year,hunt,age,2012,55-64,churn,0.3702579365079365,GA
full-year,hunt,age,2013,55-64,churn,0.3532293106853644,GA
full-year,hunt,age,2014,55-64,churn,0.3317226696288068,GA
full-year,hunt,age,2015,55-64,churn,0.31047936581126856,GA
full-year,hunt,age,2016,55-64,churn,0.30922296788445774,GA
full-year,fish,all,2010,all,participants,527114,GA
full-year,fish,all,2011,all,participants,530911,GA
full-year,fish,all,2012,all,participants,529959,GA
full-year,fish,all,2013,all,participants,550371,GA
full-year,fish,all,2014,all,participants,572568,GA
full-year,fish,all,2015,all,participants,577500,GA
full-year,fish,all,2016,all,participants,609329,GA
full-year,fish,residency,2010,resident,participants,460201,GA
full-year,fish,residency,2011,resident,participants,464088,GA
full-year,fish,residency,2012,resident,participants,462749,GA
full-year,fish,residency,2013,resident,participants,482215,GA
full-year,fish,residency,2014,resident,participants,502706,GA
full-year,fish,residency,2015,resident,participants,504677,GA
