"","region","state","quarter","group","metric","segment","year","category","value","aggregation","value_type"
"14422","Southeast","Southeast",4,"all_sports","churn","Residency",2016,"Resident",0.394961076437717,"AVG","pct_change_yr"
"14423","Southeast","Southeast",4,"fish","churn","Residency",2016,"Resident",0.104008552531601,"AVG","pct_change_yr"
"14424","Southeast","Southeast",4,"hunt","churn","Residency",2016,"Resident",-0.770151134346153,"AVG","pct_change_yr"
"14425","Southeast","Southeast",4,"all_sports","churn","Residency",2017,"Resident",0.385952524900871,"AVG","pct_change_yr"
"14426","Southeast","Southeast",4,"fish","churn","Residency",2017,"Resident",0.100235189298443,"AVG","pct_change_yr"
"14427","Southeast","Southeast",4,"hunt","churn","Residency",2017,"Resident",-0.73946870262477,"AVG","pct_change_yr"
"14428","Southeast","Southeast",4,"all_sports","churn","Residency",2018,"Resident",0.332313101964837,"AVG","pct_change_yr"
"14429","Southeast","Southeast",4,"fish","churn","Residency",2018,"Resident",0.104776676579928,"AVG","pct_change_yr"
"14430","Southeast","Southeast",4,"hunt","churn","Residency",2018,"Resident",-0.785288900910947,"AVG","pct_change_yr"
"14431","Southeast","Southeast",4,"all_sports","participants","age",2009,"18-24",0,"SUM","pct_change_yr"
"14432","Southeast","Southeast",4,"fish","participants","age",2009,"18-24",-0.142539566674409,"SUM","pct_change_yr"
"14433","Southeast","Southeast",4,"hunt","participants","age",2009,"18-24",-1.27446985133197,"SUM","pct_change_yr"
"14434","Southeast","Southeast",4,"all_sports","participants","age",2010,"18-24",0.622188007869301,"SUM","pct_change_yr"
"14435","Southeast","Southeast",4,"fish","participants","age",2010,"18-24",-0.137349006890961,"SUM","pct_change_yr"
"14436","Southeast","Southeast",4,"hunt","participants","age",2010,"18-24",-1.2822306098283,"SUM","pct_change_yr"
"14437","Southeast","Southeast",4,"all_sports","participants","age",2011,"18-24",0.613183038110574,"SUM","pct_change_yr"
"14438","Southeast","Southeast",4,"fish","participants","age",2011,"18-24",-0.141031399289535,"SUM","pct_change_yr"
"14439","Southeast","Southeast",4,"hunt","participants","age",2011,"18-24",-1.22459397594739,"SUM","pct_change_yr"
"14440","Southeast","Southeast",4,"all_sports","participants","age",2012,"18-24",0.619050914551859,"SUM","pct_change_yr"
"14441","Southeast","Southeast",4,"fish","participants","age",2012,"18-24",-0.13391455835269,"SUM","pct_change_yr"
"14442","Southeast","Southeast",4,"hunt","participants","age",2012,"18-24",-1.33622997103362,"SUM","pct_change_yr"
"14443","Southeast","Southeast",4,"all_sports","participants","age",2013,"18-24",0.622040369464443,"SUM","pct_change_yr"
"14444","Southeast","Southeast",4,"fish","participants","age",2013,"18-24",-0.138389089159364,"SUM","pct_change_yr"
"14445","Southeast","Southeast",4,"hunt","participants","age",2013,"18-24",-1.2200760030121,"SUM","pct_change_yr"
"14446","Southeast","Southeast",4,"all_sports","participants","age",2014,"18-24",0.632101485690724,"SUM","pct_change_yr"
"14447","Southeast","Southeast",4,"fish","participants","age",2014,"18-24",-0.129075434640285,"SUM","pct_change_yr"
"14448","Southeast","Southeast",4,"hunt","participants","age",2014,"18-24",-1.36077003657845,"SUM","pct_change_yr"
"14449","Southeast","Southeast",4,"all_sports","participants","age",2015,"18-24",0.619288278098501,"SUM","pct_change_yr"
"14450","Southeast","Southeast",4,"fish","participants","age",2015,"18-24",-0.128155010399917,"SUM","pct_change_yr"
"14451","Southeast","Southeast",4,"hunt","participants","age",2015,"18-24",-1.34811825629124,"SUM","pct_change_yr"
"14452","Southeast","Southeast",4,"all_sports","participants","age",2016,"18-24",0.614283901050817,"SUM","pct_change_yr"
"14453","Southeast","Southeast",4,"fish","participants","age",2016,"18-24",-0.126468352811035,"SUM","pct_change_yr"
"14454","Southeast","Southeast",4,"hunt","participants","age",2016,"18-24",-1.34944573115751,"SUM","pct_change_yr"
"14455","Southeast","Southeast",4,"all_sports","participants","age",2017,"18-24",0.598031412124227,"SUM","pct_change_yr"
"14456","Southeast","Southeast",4,"fish","participants","age",2017,"18-24",-0.13137306928464,"SUM","pct_change_yr"
"14457","Southeast","Southeast",4,"hunt","participants","age",2017,"18-24",-1.27614794751194,"SUM","pct_change_yr"
"14458","Southeast","Southeast",4,"all_sports","participants","age",2018,"18-24",0.592562766108166,"SUM","pct_change_yr"
"14459","Southeast","Southeast",4,"fish","participants","age",2018,"18-24",-0.137471268267445,"SUM","pct_change_yr"
"14460","Southeast","Southeast",4,"hunt","participants","age",2018,"18-24",-1.21851949420443,"SUM","pct_change_yr"
"14461","Southeast","Southeast",4,"all_sports","participants","age",2009,"25-34",0,"SUM","pct_change_yr"
"14462","Southeast","Southeast",4,"fish","participants","age",2009,"25-34",-0.123105333596157,"SUM","pct_change_yr"
"14463","Southeast","Southeast",4,"hunt","participants","age",2009,"25-34",-1.3954124108452,"SUM","pct_change_yr"
"14464","Southeast","Southeast",4,"all_sports","participants","age",2010,"25-34",0.62978194866133,"SUM","pct_change_yr"
"14465","Southeast","Southeast",4,"fish","participants","age",2010,"25-34",-0.120353763374358,"SUM","pct_change_yr"
"14466","Southeast","Southeast",4,"hunt","participants","age",2010,"25-34",-1.40893910236514,"SUM","pct_change_yr"
"14467","Southeast","Southeast",4,"all_sports","participants","age",2011,"25-34",0.624053657944606,"SUM","pct_change_yr"
"14468","Southeast","Southeast",4,"fish","participants","age",2011,"25-34",-0.123872172562844,"SUM","pct_change_yr"
"14469","Southeast","Southeast",4,"hunt","participants","age",2011,"25-34",-1.38334687753954,"SUM","pct_change_yr"
"14470","Southeast","Southeast",4,"all_sports","participants","age",2012,"25-34",0.631191383015023,"SUM","pct_change_yr"
"14471","Southeast","Southeast",4,"fish","participants","age",2012,"25-34",-0.123193171989828,"SUM","pct_change_yr"
