timeframe,group,segment,category,year,metric,value
full-year,all_sports,age,45-54,2017,churn,0.49523926056
full-year,all_sports,age,45-54,2018,churn,0.48570343097
full-year,fish,age,45-54,2010,churn,0.51499157698
full-year,fish,age,45-54,2011,churn,0.5184672135
full-year,fish,age,45-54,2012,churn,0.5287574080899999
full-year,fish,age,45-54,2013,churn,0.50991377816
full-year,fish,age,45-54,2014,churn,0.52161599784
full-year,fish,age,45-54,2015,churn,0.5081069150099999
full-year,fish,age,45-54,2017,churn,0.50401463667
full-year,fish,age,45-54,2018,churn,0.49372526381000004
full-year,hunt,age,45-54,2010,churn,0.33320802594
full-year,hunt,age,45-54,2011,churn,0.3313370473499999
full-year,hunt,age,45-54,2012,churn,0.34550594341999996
full-year,hunt,age,45-54,2013,churn,0.33066356228000005
full-year,hunt,age,45-54,2014,churn,0.34473205975
full-year,hunt,age,45-54,2015,churn,0.33775178393999994
full-year,hunt,age,45-54,2017,churn,0.33128676942
full-year,hunt,age,45-54,2018,churn,0.3017289018699999
full-year,all_sports,age,45-54,2009,Participants,303584.2166979653
full-year,all_sports,age,45-54,2010,Participants,340705.7593477403
full-year,all_sports,age,45-54,2011,Participants,367115.33545063314
full-year,all_sports,age,45-54,2012,Participants,368746.3342130106
full-year,all_sports,age,45-54,2013,Participants,393974.6199533876
full-year,all_sports,age,45-54,2014,Participants,400570.9207159347
full-year,all_sports,age,45-54,2015,Participants,425414.7245851789
full-year,all_sports,age,45-54,2016,Participants,418884.26691348536
full-year,all_sports,age,45-54,2017,Participants,410323.19111320196
full-year,all_sports,age,45-54,2018,Participants,401223.3256262422
full-year,all_sports,age,45-54,2014,Recruits,114564.60870412303
full-year,all_sports,age,45-54,2015,Recruits,122143.91909342691
full-year,all_sports,age,45-54,2016,Recruits,111436.84695381264
full-year,all_sports,age,45-54,2017,Recruits,106584.32426489654
full-year,all_sports,age,45-54,2018,Recruits,100983.57447353425
full-year,fish,age,45-54,2009,Participants,292076.5510818675
full-year,fish,age,45-54,2010,Participants,329168.26579887245
full-year,fish,age,45-54,2011,Participants,356186.6382840381
full-year,fish,age,45-54,2012,Participants,357993.0202417693
full-year,fish,age,45-54,2013,Participants,383762.1670892324
full-year,fish,age,45-54,2014,Participants,390769.6965490465
full-year,fish,age,45-54,2015,Participants,416518.6550903231
full-year,fish,age,45-54,2016,Participants,410527.3315026223
full-year,fish,age,45-54,2017,Participants,402433.52659122436
full-year,fish,age,45-54,2018,Participants,393600.227758617
full-year,fish,age,45-54,2014,Recruits,114266.48389707525
full-year,fish,age,45-54,2015,Recruits,122118.26631612492
