timeframe,group,segment,year,category,metric,value
mid-year,fish,Age,2009,35-44,participants,193955
mid-year,fish,Age,2010,35-44,participants,182038
mid-year,fish,Age,2011,35-44,participants,166143
mid-year,fish,Age,2012,35-44,participants,176849
mid-year,fish,Age,2013,35-44,participants,161373
mid-year,fish,Age,2014,35-44,participants,158697
mid-year,fish,Age,2015,35-44,participants,163385
mid-year,fish,Age,2008,45-54,participants,219597
mid-year,fish,Age,2009,45-54,participants,236224
mid-year,fish,Age,2010,45-54,participants,228136
mid-year,fish,Age,2011,45-54,participants,212553
mid-year,fish,Age,2012,45-54,participants,223808
mid-year,fish,Age,2013,45-54,participants,203063
mid-year,fish,Age,2014,45-54,participants,195089
mid-year,fish,Age,2015,45-54,participants,196757
mid-year,fish,Age,2008,55-64,participants,157337
mid-year,fish,Age,2009,55-64,participants,174298
mid-year,fish,Age,2010,55-64,participants,177870
mid-year,fish,Age,2011,55-64,participants,173511
mid-year,fish,Age,2012,55-64,participants,189000
mid-year,fish,Age,2013,55-64,participants,180933
mid-year,fish,Age,2014,55-64,participants,183735
mid-year,fish,Age,2015,55-64,participants,196281
mid-year,fish,All,2013,All,recruits,89872
mid-year,fish,All,2014,All,recruits,89103
mid-year,fish,All,2015,All,recruits,97819
mid-year,fish,Residency,2013,Resident,recruits,55543
mid-year,fish,Residency,2014,Resident,recruits,55192
mid-year,fish,Residency,2015,Resident,recruits,58696
mid-year,fish,Residency,2013,Nonresident,recruits,34329
mid-year,fish,Residency,2014,Nonresident,recruits,33911
mid-year,fish,Residency,2015,Nonresident,recruits,39123
mid-year,fish,Gender,2013,Male,recruits,53933
mid-year,fish,Gender,2014,Male,recruits,52779
mid-year,fish,Gender,2015,Male,recruits,59084
mid-year,fish,Gender,2013,Female,recruits,35939
mid-year,fish,Gender,2014,Female,recruits,36324
mid-year,fish,Gender,2015,Female,recruits,38735
mid-year,fish,Age,2013,18-24,recruits,22470
mid-year,fish,Age,2014,18-24,recruits,21792
mid-year,fish,Age,2015,18-24,recruits,22301
mid-year,fish,Age,2013,25-34,recruits,22465
mid-year,fish,Age,2014,25-34,recruits,23096
mid-year,fish,Age,2015,25-34,recruits,25660
mid-year,fish,Age,2013,35-44,recruits,16736
mid-year,fish,Age,2014,35-44,recruits,16454
mid-year,fish,Age,2015,35-44,recruits,17979
mid-year,fish,Age,2013,45-54,recruits,15895
mid-year,fish,Age,2014,45-54,recruits,15268
mid-year,fish,Age,2015,45-54,recruits,17259
mid-year,fish,Age,2013,55-64,recruits,12306
mid-year,fish,Age,2014,55-64,recruits,12493
mid-year,fish,Age,2015,55-64,recruits,14620
mid-year,all_sports,All,2008,All,participants,852887
mid-year,all_sports,All,2009,All,participants,914726
mid-year,all_sports,All,2010,All,participants,889563
mid-year,all_sports,All,2011,All,participants,839546
mid-year,all_sports,All,2012,All,participants,900482
mid-year,all_sports,All,2013,All,participants,840779
mid-year,all_sports,All,2014,All,participants,834044
mid-year,all_sports,All,2015,All,participants,860828
mid-year,all_sports,Residency,2008,Resident,participants,704769
mid-year,all_sports,Residency,2009,Resident,participants,755089
mid-year,all_sports,Residency,2010,Resident,participants,734648
mid-year,all_sports,Residency,2011,Resident,participants,694258
mid-year,all_sports,Residency,2012,Resident,participants,741371
mid-year,all_sports,Residency,2013,Resident,participants,695426
mid-year,all_sports,Residency,2014,Resident,participants,690618
mid-year,all_sports,Residency,2015,Resident,participants,706919
mid-year,all_sports,Residency,2008,Nonresident,participants,148118
mid-year,all_sports,Residency,2009,Nonresident,participants,159637
mid-year,all_sports,Residency,2010,Nonresident,participants,154915
mid-year,all_sports,Residency,2011,Nonresident,participants,145288
mid-year,all_sports,Residency,2012,Nonresident,participants,159111
mid-year,all_sports,Residency,2013,Nonresident,participants,145353
mid-year,all_sports,Residency,2014,Nonresident,participants,143426
mid-year,all_sports,Residency,2015,Nonresident,participants,153909
mid-year,all_sports,Gender,2008,Male,participants,624003
mid-year,all_sports,Gender,2009,Male,participants,666742
mid-year,all_sports,Gender,2010,Male,participants,646450
mid-year,all_sports,Gender,2011,Male,participants,610091
mid-year,all_sports,Gender,2012,Male,participants,646730
mid-year,all_sports,Gender,2013,Male,participants,606170
mid-year,all_sports,Gender,2014,Male,participants,596712
mid-year,all_sports,Gender,2015,Male,participants,614219
mid-year,all_sports,Gender,2008,Female,participants,228884
mid-year,all_sports,Gender,2009,Female,participants,247984
mid-year,all_sports,Gender,2010,Female,participants,243113
mid-year,all_sports,Gender,2011,Female,participants,229455
mid-year,all_sports,Gender,2012,Female,participants,253752
mid-year,all_sports,Gender,2013,Female,participants,234609
mid-year,all_sports,Gender,2014,Female,participants,237332
mid-year,all_sports,Gender,2015,Female,participants,246609
mid-year,all_sports,Age,2008,18-24,participants,104576
mid-year,all_sports,Age,2009,18-24,participants,111456
mid-year,all_sports,Age,2010,18-24,participants,106659
mid-year,all_sports,Age,2011,18-24,participants,100725
mid-year,all_sports,Age,2012,18-24,participants,111887
mid-year,all_sports,Age,2013,18-24,participants,107648
mid-year,all_sports,Age,2014,18-24,participants,108486
mid-year,all_sports,Age,2015,18-24,participants,110176
mid-year,all_sports,Age,2008,25-34,participants,162745
mid-year,all_sports,Age,2009,25-34,participants,177723
mid-year,all_sports,Age,2010,25-34,participants,174593
mid-year,all_sports,Age,2011,25-34,participants,166246
mid-year,all_sports,Age,2012,25-34,participants,180447
mid-year,all_sports,Age,2013,25-34,participants,168221
mid-year,all_sports,Age,2014,25-34,participants,170016
mid-year,all_sports,Age,2015,25-34,participants,176791
mid-year,all_sports,Age,2008,35-44,participants,195121
mid-year,all_sports,Age,2009,35-44,participants,201087
mid-year,all_sports,Age,2010,35-44,participants,188609
mid-year,all_sports,Age,2011,35-44,participants,172483
mid-year,all_sports,Age,2012,35-44,participants,182258
mid-year,all_sports,Age,2013,35-44,participants,167256
mid-year,all_sports,Age,2014,35-44,participants,164055
mid-year,all_sports,Age,2015,35-44,participants,168397
mid-year,all_sports,Age,2008,45-54,participants,227955
mid-year,all_sports,Age,2009,45-54,participants,244709
mid-year,all_sports,Age,2010,45-54,participants,236364
mid-year,all_sports,Age,2011,45-54,participants,220939
mid-year,all_sports,Age,2012,45-54,participants,231478
mid-year,all_sports,Age,2013,45-54,participants,210917
mid-year,all_sports,Age,2014,45-54,participants,202155
mid-year,all_sports,Age,2015,45-54,participants,203433
mid-year,all_sports,Age,2008,55-64,participants,162490
mid-year,all_sports,Age,2009,55-64,participants,179751
mid-year,all_sports,Age,2010,55-64,participants,183339
mid-year,all_sports,Age,2011,55-64,participants,179154
mid-year,all_sports,Age,2012,55-64,participants,194413
